花蓮: 597 total, 192 candidates
  [500] 知本黑松羊肉爐 (rating=4, reviews=3354, popular)
  [502] 池上豆之間 (rating=4, reviews=2698, popular)
  [503] 海靖甕仔雞 (rating=4, reviews=1309, popular)
  [504] 黑松羊肉爐 (rating=4, reviews=3354, popular)
  [505] 津芳冰城 (rating=4, reviews=2069, popular)
  [507] 明奎早餐店 (rating=4, reviews=2890, popular)
  [511] 源昌關山便當 (rating=4, reviews=1377, popular)
  [514] 麗荷園休閒餐廳 (rating=4, reviews=1004, popular)
  [516] 台東脫線牧場 (rating=4, reviews=4090, popular)
  [519] 可可娜咖啡 Coconut Cafe (rating=4.4, reviews=2796, popular)
  [525] 星咖啡 (rating=4.5, reviews=5671, popular)
雲林: 759 total, 189 candidates
  [1] 老街碗粿 (rating=4.2, reviews=2815, popular)
  [8] 華山會館 (rating=5, reviews=6472, popular)
  [28] 金誠石火鍋 石頭火鍋 韓式燒肉 (rating=4.9, reviews=5757, popular)
  [31] 北港祥記花生酥｜官方賴（宅配/預訂自取）ID：@xsp0874a｜北港美食｜雲林北港名產伴手禮｜貢糖酥｜百年老店｜蛋捲｜禮盒｜花生 (rating=4.9, reviews=2961, popular)
  [34] 北港臻狀元囍餅 (rating=4.9, reviews=1520, popular)
  [35] 黑先生飯館｜現場候位，不開放訂位｜多數座位在二樓，需爬樓梯｜ (rating=4.9, reviews=2168, popular)
  [36] 豪客窯烤雞（斗六店）、(雲林美食、烤雞、串燒、餐廳、宵夜、居酒屋) (rating=4.9, reviews=1778, popular)
  [37] 嗑肉石鍋斗六上海店(二代店) (rating=4.9, reviews=9486, popular)
  [39] 鍋道一號 斗南旗艦店【斗南網友推薦火鍋】高CP值火鍋｜人氣火鍋店｜優質肉品｜必吃火鍋｜適合聚餐 (rating=4.9, reviews=3592, popular)
  [43] 聚 日式鍋物 斗六鎮南店 (rating=4.9, reviews=4846, popular)
  [44] 什浬鍋 Shihli Stone Hot Pot (rating=4.9, reviews=1722, popular)
  [52] 西堤牛排 斗六萬家福店 (rating=4.9, reviews=14451, popular)
  [54] 高稼庄花枝羹麵 (rating=4.9, reviews=3664, popular)
  [79] 虎科婆婆麵店 (rating=4.8, reviews=1604, popular)
  [80] 青食 (rating=4.8, reviews=1520, popular)
  [82] 叁記傳食-斗六創始店 （叁記刈包） (rating=4.8, reviews=2455, popular)
  [83] 韓楓館 - 斗六店 (rating=4.8, reviews=2985, popular)
  [86] 村上石頭火鍋 虎尾店 (rating=4.8, reviews=1194, popular)
  [87] 榕苑古蹟餐飲 (rating=4.8, reviews=1288, popular)
  [88] 迷樂卡啡 斗南店 (rating=4.8, reviews=2081, popular)
  [89] 勝咖啡 (rating=4.8, reviews=1008, popular)
  [91] 小兄弟牛排館 (rating=4.8, reviews=1459, popular)
  [92] 幸福Mochi-西螺麻糬 延平老街店 (rating=4.8, reviews=1489, popular)
  [93] 川玥 秘境鍋物 斗六店｜斗六火鍋・家庭聚餐首選 (rating=4.8, reviews=3814, popular)
  [94] 雲鮮牛鍋物 (rating=4.8, reviews=1660, popular)
  [95] 養鍋 Yang Guo 石頭涮涮鍋 (斗六民生南店) (rating=4.8, reviews=1136, popular)
  [98] 色鼎燒肉虎尾店 (rating=4.8, reviews=8828, popular)
  [99] 饌鼎重慶麻辣鍋 北港店 (rating=4.8, reviews=1040, popular)
  [103] 56號藍色公路咖啡廳！水豚君、羊駝、迷你馬、狐獴、羊、孔雀 (rating=4.8, reviews=7684, popular)
  [110] 色鼎燒肉斗六店 (rating=4.8, reviews=12049, popular)
  [111] 小蒙牛頂級麻辣養生鍋-斗六店(烤) (rating=4.8, reviews=1738, popular)
  [113] 虎尾婆婆的店 (rating=4.8, reviews=1604, popular)
  [114] 初八拉麵斗六店 (rating=4.8, reviews=4362, popular)
  [138] 億品鍋虎尾店 - 雲林 人氣小火鍋餐廳 平價個人鍋 必吃麻辣鍋 牛奶鍋 藥膳鍋 高cp值海陸鍋 特色湯底鍋物 朋友聚餐首選 虎尾商圈美食 ptt推薦 (rating=4.7, reviews=2475, popular)
  [143] 斗南徐記肉圓 (rating=4.7, reviews=1769, popular)
  [147] 西螺醬油博物館 (rating=4.7, reviews=2961, popular)
  [148] 樂飯樂販斗六店 (rating=4.7, reviews=3250, popular)
  [149] 雲品食坊西式複合式料理 (rating=4.7, reviews=2211, popular)
  [151] Sunny Q 陽光公主義國餐廳｜雲林美食推薦｜虎尾義大利麵｜網美餐廳｜親子友善｜生日慶生｜家庭聚餐｜國旅卡（旅宿業）特約商店 (rating=4.7, reviews=3029, popular)
  [152] 幸福燈塔複合式餐飲（雲林100碗） (rating=4.7, reviews=1492, popular)
  [153] 鴨丫小麵店-北港美食 北港小吃 北港在地美食 北港在地小吃 北港必吃 北港老街美食 朝天宮美食 朝天宮小吃 (rating=4.7, reviews=1569, popular)
  [156] 嗨咿迴轉火鍋｜吃到飽 (rating=4.7, reviews=2686, popular)
  [157] 惹鍋-虎尾店 (rating=4.7, reviews=4289, popular)
  [158] 圓砌鴛鴦升降鍋物 斗六旗艦店 全台第一升降鍋物 (rating=4.7, reviews=5022, popular)
  [159] 新千葉火鍋-斗六店 (rating=4.7, reviews=8978, popular)
  [161] 火鍋世家 雲林虎尾店 (rating=4.7, reviews=1770, popular)
  [162] 三國饌鴛鴦麻辣鍋-虎尾中正旗艦店 (rating=4.7, reviews=2470, popular)
  [163] 築間幸福鍋物 雲林斗六店 (rating=4.7, reviews=2684, popular)
  [166] 武正水產｜餐廳週一公休 (rating=4.7, reviews=2007, popular)
  [167] 斗六釣魚台活漁海鮮餐廳(前方道路施工正常營業）雲林100碗斗六在地美食推薦 (rating=4.7, reviews=1910, popular)
  [175] 市場光壽司 (rating=4.7, reviews=1134, popular)
  [176] 一捲寿司（全台第一外帶壽司品牌）（派對壽司拼盤）（台灣魚刺身專門） (rating=4.7, reviews=1080, popular)
  [178] 嶼光 Island(假日無預約服務、僅平日可預約） (rating=4.7, reviews=1345, popular)
  [180] Immense 恬恬 (rating=4.7, reviews=2174, popular)
  [181] 濃喵手作芋圓 嫩仙草 剉冰 燒仙草 (rating=4.7, reviews=1079, popular)
  [183] 丸京燒肉 割烹專門店 Marukyo yakiniku (斗六旗艦店) (rating=4.7, reviews=1502, popular)
  [184] 宮本武丼｜直火燒肉丼｜斗六店 (rating=4.7, reviews=1681, popular)
  [186] 史堤克牛排斗六店 (rating=4.7, reviews=3549, popular)
  [188] 好客食堂 (rating=4.7, reviews=2901, popular)
  [190] 虎尾地瓜球 (rating=4.7, reviews=1049, popular)
  [191] 壹番素食餐廳(不含蛋及酒)雲林素食 斗六素食 斗六素食餐廳 斗六美食推薦 (rating=4.7, reviews=1115, popular)
  [214] 台灣鯛生態創意園區 (rating=4.7, reviews=5086, popular)
  [215] 二崙佳美（狀元餅、伍仁酥、鴛鴦玉露、梅香酥、乳酪麻糬大餅） (rating=4.7, reviews=1163, popular)
  [222] 張家牛肉麵 (rating=4.6, reviews=1813, popular)
  [229] 劉家酸菜白肉鍋斗六店 (rating=4.6, reviews=2267, popular)
  [230] 烹小鮮 (rating=4.6, reviews=2676, popular)
  [233] 烹小鮮麵館 (rating=4.6, reviews=2676, popular)
  [238] 微樂生活咖啡 (rating=4.6, reviews=2044, popular)
  [240] 野川堂秘境鍋物 虎尾店 (rating=4.6, reviews=8691, popular)
  [241] 築間幸福鍋物 雲林虎尾店 (rating=4.6, reviews=2327, popular)
  [242] 五鮮級鍋物專賣 雲林北港店 (rating=4.6, reviews=2058, popular)
  [245] 庵古坑咖啡 (rating=4.6, reviews=5189, popular)
  [253] 一鮮切 炭燻牛排 (rating=4.6, reviews=3956, popular)
  [254] 大娘羹檜意美食館 (rating=4.6, reviews=2648, popular)
  [260] 深海深美食旗艦總店 (rating=4.6, reviews=2024, popular)
  [267] 三角窗黃金魚焿 (rating=4.6, reviews=1146, popular)
  [301] 吳記肉圓 (rating=4.5, reviews=3140, popular)
  [302] 第五大道 (rating=4.5, reviews=1430, popular)
  [306] 一個太陽一個月亮 (rating=4.5, reviews=1039, popular)
  [307] CHICO 餐廚 (rating=4.5, reviews=2198, popular)
  [308] 侍悟丸迴轉壽司斗六店 (rating=4.5, reviews=2633, popular)
  [310] 稻香村懷舊料理 (rating=4.5, reviews=1151, popular)
  [316] 肉多多火鍋-雲林斗六店 (rating=4.5, reviews=1206, popular)
  [317] 八斗子海鮮餐廳 (rating=4.5, reviews=3752, popular)
  [322] 阿豐油飯麵線糊 (rating=4.5, reviews=1374, popular)
  [331] 曾記涼泉芳冰店 (rating=4.5, reviews=1283, popular)
  [333] 焰屋燒肉 (rating=4.5, reviews=1132, popular)
  [334] 夯石頭無煙燒肉 斗六旗艦館 (rating=4.5, reviews=4421, popular)
  [335] 江南大豬韓式火烤餐廳 (rating=4.5, reviews=1788, popular)
  [339] 喜樂牛排斗六店 (rating=4.5, reviews=1069, popular)
  [354] 雲頂咖啡 (rating=4.5, reviews=2153, popular)
  [356] 華山觀止-虫二行館 (rating=4.5, reviews=2621, popular)
  [369] 高香珍本店 (rating=4.5, reviews=1377, popular)
  [375] 老謝牛肉麵（僅有洗手台丨13:30、19:30後僅提供外帶） (rating=4.4, reviews=1271, popular)
  [377] 北港輝煌牛肉湯 (rating=4.4, reviews=1606, popular)
  [385] 嘉義公園火雞肉飯（公休請看FB) (rating=4.4, reviews=1255, popular)
  [388] 圓環阿明鴨肉麵線（本店不定時公休） (rating=4.4, reviews=1213, popular)
  [390] 阿賜豬腳飯 (rating=4.4, reviews=1812, popular)
  [392] 老鄰居1971 (rating=4.4, reviews=1319, popular)
  [394] 井野板前料理 (rating=4.4, reviews=1636, popular)
  [397] 彭家飯湯 (rating=4.4, reviews=6280, popular)
  [398] 斗南米糕甲（無固定休息日） (rating=4.4, reviews=2590, popular)
  [400] 青松餐廳 (rating=4.4, reviews=6249, popular)
  [401] 陳家煎盤粿 (rating=4.4, reviews=1376, popular)
  [404] 好星晴夜景泡腳咖啡廳 (rating=4.4, reviews=3043, popular)
  [405] 華南天空之夜養生泡腳咖啡 (rating=4.4, reviews=4923, popular)
  [407] 芸彰牧場牛肉料理餐廳 (rating=4.4, reviews=1834, popular)
  [409] 無名麵攤(大胖麵攤) (rating=4.4, reviews=1194, popular)
  [411] 一品香火鍋斗六店 (rating=4.4, reviews=2696, popular)
  [412] 誠石火鍋 (rating=4.4, reviews=1515, popular)
  [413] 老潮興汕頭火鍋｜熱炒｜串燒 (rating=4.4, reviews=1749, popular)
  [415] 永光故事屋-隨興沖咖啡 (rating=4.4, reviews=1087, popular)
  [416] 阿賜豬腳 (rating=4.4, reviews=1812, popular)
  [419] 大東屋斗六棒球場旗艦店 (rating=4.4, reviews=1068, popular)
  [421] 溝仔垻清涼冰店 (rating=4.4, reviews=4067, popular)
  [424] 炭火燒肉工房-斗六店 (rating=4.4, reviews=1172, popular)
  [427] 魔力牛牛排館 虎尾店 主打雙拼（手打烏龍麵、涼麵、咖哩牛筋無限量供應）惟有堅持才有美味 (rating=4.4, reviews=1987, popular)
  [434] 大吉祥香豆腐 虎尾店 (rating=4.4, reviews=2000, popular)
  [436] 大吉祥香豆腐(虎尾店) (rating=4.4, reviews=1500, popular)
  [451] 好星晴夜景泡腳咖啡廳【現場制，座位皆可遠眺夜景，泡腳限時：90分鐘】 (rating=4.4, reviews=3043, popular)
  [452] 華南天空之夜養生泡腳咖啡｜雲林古坑景點｜雲林華山泡腳咖啡廳｜雲林華山打卡景點｜泡腳送飲料｜泡腳看夜景 (rating=4.4, reviews=4923, popular)
  [478] 土庫老店當歸鴨肉麵線 (rating=4.3, reviews=2567, popular)
  [480] 明湖海產 (rating=4.3, reviews=1191, popular)
  [486] 北港李記鴨肉羹 (rating=4.3, reviews=1845, popular)
  [488] 魷魚興魷魚嘴羮 (rating=4.3, reviews=3613, popular)
  [490] 長興圓仔冰 (rating=4.3, reviews=4906, popular)
  [493] 古坑荷苞山咖啡 (rating=4.3, reviews=1216, popular)
  [494] 黃記九層粿 (rating=4.3, reviews=1966, popular)
  [499] 口湖龍膽石斑魚火鍋 (rating=4.3, reviews=1191, popular)
  [501] 雅砌庭園咖啡館 (rating=4.3, reviews=1439, popular)
  [504] 北港阿等土豆油飯 (rating=4.3, reviews=2262, popular)
  [505] 東城北方麵食館 (rating=4.3, reviews=2149, popular)
  [507] 西螺黃家九層粿 (rating=4.3, reviews=1966, popular)
  [509] 一品香火鍋虎尾店 (rating=4.3, reviews=1360, popular)
  [511] 近水樓台湖畔森林咖啡 (rating=4.3, reviews=2738, popular)
  [512] 山妍慕夏莊園咖啡 (rating=4.3, reviews=1173, popular)
  [513] 桂林映象會館 (rating=4.3, reviews=2928, popular)
  [530] 夯石頭無煙燒肉 虎尾旗艦館 (rating=4.3, reviews=1971, popular)
  [540] 大吉祥香豆腐 斗六店 (rating=4.3, reviews=1500, popular)
  [543] 老等油飯 麵線糊 (rating=4.3, reviews=1522, popular)
  [554] 文元街陽春麵臭豆腐 (rating=4.3, reviews=1396, popular)
  [555] 他里霧文化園區 (rating=4.3, reviews=1966, popular)
  [558] 千巧谷牛樂園牧場 (rating=4.3, reviews=24605, popular)
  [560] 巴登咖啡 (rating=4.3, reviews=1216, popular)
  [561] 16號廚房素食餐廳 斗六店 (rating=4.3, reviews=1176, popular)
  [578] 日日興現宰羊肉爐 (rating=4.3, reviews=2958, popular)
  [579] 阿火肉圓 (rating=4.3, reviews=2013, popular)
  [587] 東市羊肉 (rating=4.2, reviews=1402, popular)
  [591] 阿海師鴨肉麵線 (rating=4.2, reviews=2420, popular)
  [592] 民主火雞肉飯 (rating=4.2, reviews=12416, popular)
  [594] 虎尾王家當歸鴨麵線 (rating=4.2, reviews=2271, popular)
  [595] 阿世香菇肉羹 (rating=4.2, reviews=1008, popular)
  [597] 古坑啡你不可庭園咖啡 (rating=4.2, reviews=1745, popular)
  [599] 桃花源餐廳 (rating=4.2, reviews=2730, popular)
  [606] 左岸101庭園餐廳 (rating=4.2, reviews=1243, popular)
  [607] 六扇門時尚湯鍋 虎尾中正店 (rating=4.2, reviews=1110, popular)
  [609] 海村澎湖活海鮮餐廳 (rating=4.2, reviews=2112, popular)
  [612] 凹凸咖啡館 (rating=4.2, reviews=1194, popular)
  [615] 啡你不可庭園咖啡廳 (rating=4.2, reviews=1745, popular)
  [617] 圓環當歸鴨 (rating=4.2, reviews=1664, popular)
  [620] スシロー壽司郎 雲林斗六店 (rating=4.2, reviews=1348, popular)
  [623] 虎珍堂 菓寮店 (rating=4.2, reviews=1556, popular)
  [624] 官東燒肉-斗六店 (rating=4.2, reviews=1032, popular)
  [625] 豬烤官韓式烤肉吃到飽 -虎尾店 (rating=4.2, reviews=1083, popular)
  [628] 成功牛排「斗六店」 (rating=4.2, reviews=1015, popular)
  [631] 虎尾王家當歸鴨肉麵線 (rating=4.2, reviews=2270, popular)
  [639] 一郎土魠魚羹 招牌青蛙湯 豬腳飯 (rating=4.2, reviews=1284, popular)
  [660] 福記煙燻鵝肉 (rating=4.1, reviews=1820, popular)
  [661] 虎尾魷魚羹麵 (rating=4.1, reviews=1034, popular)
  [662] 阿國獅魷魚羹 (rating=4.1, reviews=6427, popular)
  [668] 北港圓仔湯 (rating=4.1, reviews=1863, popular)
  [669] 北港福安鴨肉飯 (rating=4.1, reviews=3589, popular)
  [675] 福安鴨肉飯 (rating=4.1, reviews=3590, popular)
  [676] 雲林溪美食廣場 (rating=4.1, reviews=1136, popular)
  [677] 廟口活海鮮餐廳 (rating=4.1, reviews=2206, popular)
  [680] 豬烤官韓式烤肉吃到飽-斗南店 (rating=4.1, reviews=1289, popular)
  [683] 老地方客家菜｜大溪超人氣美食｜團體合菜 家庭聚餐推薦｜道地老店 (rating=4.1, reviews=4524, popular)
  [693] 仙地咖啡 (rating=4.1, reviews=1729, popular)
  [712] 北港圓環紅燒青蛙湯 (rating=4, reviews=1554, popular)
  [713] 口湖馬蹄蛤主題館 (rating=4, reviews=1233, popular)
  [717] 米多力休閒農莊 (rating=4, reviews=1693, popular)
  [720] 萬八自助式熱炒 (rating=4, reviews=1580, popular)
  [723] 怪人花枝鱔魚麵（雲林100碗） (rating=4, reviews=2015, popular)
  [727] 農稼莊古早味餐廳 (rating=4, reviews=1187, popular)
  [731] 正斗六炊仔飯 (rating=4, reviews=1285, popular)
  [732] 鄧肉圓斗六總店 (rating=4, reviews=1750, popular)
  [744] 永光餅行/西點麵包 (rating=4, reviews=1601, popular)
  [746] 田園小館 (rating=4, reviews=1391, popular)
  [758] 嘉義梅山二尖山休閒茶園 (rating=4.4, reviews=2723, popular)
澎湖: 277 total, 79 candidates
  [0] 江巷仔內仙人掌冰 (rating=4.7, reviews=1288, popular)
  [1] 潮境 TideLand｜海鮮料理 (rating=4.6, reviews=1471, popular)
  [3] 龍門海鮮 (rating=4.1, reviews=1449, popular)
  [5] 禾風冰品 (rating=5, reviews=1338, popular)
  [9] 吉貝小三的店|小卷麵線•米粉|綜合仙草冰|QQ圓仔冰|麵茶粉圓冰|鍋燒系列專賣| (rating=5, reviews=1313, popular)
  [11] Bunny Café 白兔牌 (rating=4.9, reviews=2382, popular)
  [18] 外婆麵猴 (rating=4.9, reviews=1127, popular)
  [19] 海鱻 (rating=4.9, reviews=2004, popular)
  [22] 巴適麻辣鍋 (rating=4.9, reviews=5586, popular)
  [24] 擄胃食堂個人精致鍋物 訂位専線 (rating=4.9, reviews=1255, popular)
  [29] 自由伯-仙人掌冰創始人 (rating=4.9, reviews=6447, popular)
  [33] 兩個番茄農場 (rating=4.3, reviews=1439, popular)
  [42] 雛菊見DAISY HOUSE- 澎湖店｜生日慶生｜花火節｜聚餐｜澎湖美食 (rating=4.8, reviews=7167, popular)
  [45] 新巴適經典麻辣鍋 澎湖店 (rating=4.8, reviews=3453, popular)
  [50] 嶼蘊 ｜ 海｜禮｜ (rating=4.8, reviews=1243, popular)
  [53] 漁師 小料理 (rating=4.8, reviews=1541, popular)
  [62] 海童日式料理 (rating=4.7, reviews=2626, popular)
  [66] 金醬府 (rating=4.7, reviews=2067, popular)
  [68] 栄次郎個人燒肉-澎湖馬公店 (rating=4.7, reviews=1749, popular)
  [91] Addict restaurant癮餐廳 (rating=4.6, reviews=1599, popular)
  [92] 友先燒烤｜海陸自助式室內冷氣燒烤｜澎湖牡蠣供應中｜下午茶烤蚵專場｜restaurants (rating=4.6, reviews=1929, popular)
  [93] 瑪咖朵披薩 Mercato Pizza (OPNE 11AM～5PM) (rating=4.6, reviews=1313, popular)
  [94] 洪家炸粿 (rating=4.6, reviews=1238, popular)
  [95] 富園小吃 (rating=4.6, reviews=2908, popular)
  [96] 海城 上湯鮮魚粥 (rating=4.6, reviews=2170, popular)
  [97] 668海鮮餐廳 (rating=4.6, reviews=1077, popular)
  [99] 澎湖老家餡餅 (rating=4.6, reviews=1291, popular)
  [107] 朝食暮饗-澎湖宵夜/早午餐推薦/澎湖早餐/澎湖早餐推薦/澎湖早午餐 (rating=4.6, reviews=1191, popular)
  [110] 御品家食品 (rating=4.6, reviews=1665, popular)
  [112] 二崁杏仁茶 (rating=4.6, reviews=1886, popular)
  [113] 澎島之星燒烤吃到飽 (rating=4.6, reviews=1484, popular)
  [118] 吉貝別野餐廳 (rating=4.6, reviews=1037, popular)
  [129] 清峰海鮮紫菜冬粉 (rating=4.5, reviews=1471, popular)
  [134] 澎漁海味.壽司.鍋物（草屯店） (rating=4.5, reviews=1381, popular)
  [135] 珍海味活海鮮 (rating=4.5, reviews=1124, popular)
  [149] 沃德先生烘焙餐館 (rating=4.5, reviews=1077, popular)
  [150] 清峰海鮮 (rating=4.5, reviews=1472, popular)
  [154] 糧園茶藝客家小館 (rating=4.4, reviews=2320, popular)
  [155] 吹蚵仔海鮮&小管麵線 (rating=4.4, reviews=1001, popular)
  [156] 澎漁宴 生猛海鮮-人氣海鮮餐廳 必吃美食 合菜 團體 特色料理 家庭聚餐 包廂餐廳推薦 (rating=4.4, reviews=1843, popular)
  [160] 臨海樓海鮮料理 (rating=4.4, reviews=2890, popular)
  [161] 西河食堂 (rating=4.4, reviews=1956, popular)
  [162] 華珍活海鮮【澎湖海鮮餐廳】澎湖必吃｜新鮮海鮮餐廳｜平價活海鮮｜老饕推薦海鮮｜便宜美味海產店 (rating=4.4, reviews=1297, popular)
  [167] 海九澎湖海鮮餐廳 (rating=4.4, reviews=2612, popular)
  [168] 及林春咖啡館 (rating=4.4, reviews=3097, popular)
  [169] 玉冠嫩仙草-澎湖總店 (rating=4.4, reviews=8854, popular)
  [173] 紫玉仙草 (rating=4.4, reviews=1757, popular)
  [176] 澎湖山水夏日碳烤 （當日海鮮直送）（堅持木炭）（第13年） (rating=4.4, reviews=2115, popular)
  [189] 老蔡牛肉麵 (rating=4.3, reviews=1125, popular)
  [191] 美東芳牛肉麵(若中午售完，晚上不營業) (rating=4.3, reviews=2098, popular)
  [192] 北新橋牛雜湯 (rating=4.3, reviews=3754, popular)
  [193] 兩個番茄農場 (rating=4.3, reviews=1439, popular)
  [196] 澎坊購物休閒廣場 (rating=4.3, reviews=9170, popular)
  [199] 阿東海鮮餐廳 (rating=4.3, reviews=1115, popular)
  [200] 鹹水煙澎湖特色餐廳 (rating=4.3, reviews=1070, popular)
  [201] 日新餐廳 (rating=4.3, reviews=2231, popular)
  [205] 外垵刈包 福氣早餐店 (rating=4.3, reviews=1802, popular)
  [209] 澎湖三哥雞排三多店 (rating=4.3, reviews=1260, popular)
  [215] 美樂地我家小館 (rating=4.2, reviews=3411, popular)
  [217] 小萍的店小管麵線 (rating=4.2, reviews=2974, popular)
  [220] 澎湖漁港麵店 (rating=4.2, reviews=1177, popular)
  [221] 鐘記燒餅 (rating=4.2, reviews=2841, popular)
  [224] 小萍的店 (rating=4.2, reviews=2974, popular)
  [225] 大池炸粿&鯊魚排（3/23起搬遷至大池村1-1號） (rating=4.2, reviews=1476, popular)
  [238] 龍星餐廳 (rating=4.2, reviews=2244, popular)
  [242] 星月灣田媽媽餐廳 (rating=4.2, reviews=1217, popular)
  [243] 福牡蠣屋 (rating=4.2, reviews=2747, popular)
  [245] 花菜干人文懷舊餐館（建議預約） (rating=4.1, reviews=1889, popular)
  [248] 來福海鮮餐廳 (rating=4.1, reviews=3846, popular)
  [249] 澎湖-回家炸粿 (rating=4.1, reviews=2477, popular)
  [253] 澎湖瘋燒烤 - 新鮮牡蠣每日產地直送！ (rating=4.1, reviews=1195, popular)
  [256] 城隍廟前燒肉飯 (rating=4.1, reviews=1183, popular)
  [262] 郵局口蔥油餅 (rating=4, reviews=3152, popular)
  [263] 媽宮食品觀光工廠 (rating=4, reviews=1240, popular)
  [264] 鮮食堂海鮮蒸鍋/2017成立澎湖第一家蒸鍋海鮮絕無分店/ (rating=4, reviews=1867, popular)
  [266] 阿華漁村海鮮料理 (rating=4, reviews=3345, popular)
  [272] 林投公園咖啡 (rating=4.4, reviews=3097, popular)
  [274] 肇林巷咖啡 (rating=4.4, reviews=3097, popular)
  [275] 阿華咖啡 (rating=4, reviews=3346, popular)
金馬: 91 total, 32 candidates
  [3] 初原麵場(金門金寧店) (rating=4.9, reviews=1094, popular)
  [4] 愜意甜點工作室-金門甜點 金門伴手禮 金門名產 金門下午茶 金門網紅打卡點 附近美食 (rating=4.9, reviews=1770, popular)
  [11] 19house炙燒牛排金門店 (rating=4.8, reviews=1074, popular)
  [14] 圓頭肉乾-金城榮泰店 | 金門美食 金門牛肉麵 金門牛肉乾 金門名產 金門伴手禮 金門必吃 附近餐廳 restaurant (rating=4.8, reviews=1965, popular)
  [15] 高坑牛肉食樂苑餐廳 預約制 (rating=4.8, reviews=7126, popular)
  [17] 良金牧場牛肉麵 (rating=4.7, reviews=3399, popular)
  [20] 圓頭肉乾金門農牧概念館-金門美食 金門牛肉麵 金門牛肉火鍋 金門牛肉乾 金門名產 金門伴手禮 金門必吃 附近餐廳 (rating=4.7, reviews=4569, popular)
  [21] 馬家麵線 (rating=4.7, reviews=8695, popular)
  [22] 良金牧場貞節牌坊店 (rating=4.7, reviews=3410, popular)
  [26] 海福花園飯店 (rating=4.6, reviews=1337, popular)
  [27] 嘉年華冰菓室 (rating=4.6, reviews=1014, popular)
  [28] 永春廣東粥 (rating=4.5, reviews=3464, popular)
  [31] 雨川食堂｜金門戰地滋味 (rating=4.5, reviews=1379, popular)
  [32] 良金牧場工廠總店 (rating=4.5, reviews=3667, popular)
  [35] 蝦寮食堂 (rating=4.5, reviews=1506, popular)
  [44] 芹沃咖啡烘焙館Qinwo Bakery (rating=4.4, reviews=1432, popular)
  [45] 阿婆魚麵店 (rating=4.4, reviews=1009, popular)
  [47] 閩式燒餅專賣店 (rating=4.3, reviews=1487, popular)
  [49] 米香屋廣東粥 (rating=4.3, reviews=1005, popular)
  [50] 合泉購物中心 (rating=4.3, reviews=1356, popular)
  [53] 陽翟老街(軍中樂園拍攝場景) (rating=4.3, reviews=1825, popular)
  [57] 依嬤的店 (rating=4.3, reviews=1273, popular)
  [60] 記德海鮮餐廳 (rating=4.2, reviews=2272, popular)
  [61] 金門牛家莊（酒糟牛肉料理）創立於2002年 (rating=4.2, reviews=2472, popular)
  [62] 喬安牧場伯玉旗艦店 (rating=4.2, reviews=1096, popular)
  [63] 聯成廣東粥 (rating=4.2, reviews=1418, popular)
  [66] 沙美老街 (rating=4.2, reviews=4629, popular)
  [70] 信源海產店-湖下店 (rating=4.1, reviews=1077, popular)
  [71] 標記小吃店 (rating=4.1, reviews=1486, popular)
  [80] 三層樓芋頭餐館（三層樓芋頭冰） (rating=4, reviews=2002, popular)
  [83] 馬港大眾飲食店 (rating=4, reviews=1106, popular)
  [90] 芹壁咖啡 (rating=4.4, reviews=1432, popular)

Total candidates: 662
